sharedfakeplanets,sharedlegitplanets,didntshare,researched,didntresearch,score
342,330,328,483,517,494315
339,330,331,484,516,494263
356,330,314,516,484,494164
352,330,318,506,494,494143
319,330,351,493,507,494105
351,330,319,497,503,493976
320,330,350,522,478,493946
330,330,340,473,527,493884
343,330,327,499,501,493875
320,330,350,486,514,493837
339,330,331,491,509,493729
344,329,327,509,491,493699
340,330,330,477,523,493678
341,330,329,503,497,493667
331,330,339,498,502,493648
327,329,344,511,489,493572
326,329,345,497,503,493313
337,330,333,508,492,493297
342,330,328,522,478,493288
332,329,339,477,523,493201
338,330,332,510,490,493197
333,330,337,505,495,493195
322,329,349,509,491,493104
360,329,311,506,494,492904
355,329,316,492,508,492836
311,329,360,503,497,492729
313,329,358,512,488,492727
334,329,337,485,515,492718
337,329,334,490,510,492673
336,329,335,505,495,492669
323,329,348,497,503,492662
317,329,354,496,504,492615
331,329,340,488,512,492589
342,329,329,501,499,492530
325,329,346,503,497,492501
323,329,348,505,495,492406
329,329,342,499,501,492347
333,329,338,519,481,492346
311,329,360,520,480,492333
355,328,317,480,520,492295
347,329,324,469,531,492286
346,329,325,493,507,492167
323,329,348,512,488,492138
328,328,344,492,508,492111
332,329,339,500,500,492084
355,328,317,537,463,491930
349,328,323,514,486,491825
304,328,368,498,502,491740
341,328,331,493,507,491643
332,328,340,509,491,491641
322,328,350,507,493,491598
320,328,352,517,483,491535
311,328,361,512,488,491504
329,328,343,491,509,491484
346,328,326,516,484,491231
314,328,358,505,495,491212
296,328,376,507,493,491196
332,328,340,497,503,491080
339,328,333,506,494,491051
347,328,325,495,505,491044
324,329,347,491,509,490957
314,328,358,481,519,490955
339,328,333,517,483,490880
338,328,334,500,500,490814
331,328,341,456,544,490718
349,328,323,499,501,490619
333,327,340,486,514,490600
326,328,346,479,521,490588
333,328,339,511,489,490443
349,327,324,527,473,490400
316,327,357,520,480,490313
321,327,352,513,487,490274
332,328,340,527,473,490260
354,328,318,494,506,490146
328,327,345,519,481,490145
321,327,352,502,498,490048
356,327,317,471,529,489961
346,327,327,485,515,489958
359,327,314,521,479,489893
358,327,315,508,492,489856
349,327,324,502,498,489805
356,327,317,500,500,489798
342,327,331,512,488,489696
355,327,318,483,517,489624
327,327,346,494,506,489598
349,328,323,476,524,489587
343,327,330,500,500,489406
332,327,341,479,521,489295
347,327,326,476,524,489283
354,327,319,513,487,489272
319,327,354,486,514,489202
346,326,328,512,488,489026
353,327,320,493,507,488928
355,327,318,529,471,488784
355,326,319,512,488,488751
343,326,331,501,499,488721
308,326,366,488,512,488614
375,326,299,460,540,488577
315,326,359,512,488,488326
308,326,366,495,505,488280
360,326,314,505,495,488280
314,326,360,488,512,488242
345,326,329,506,494,488218
352,326,322,492,508,488205
340,326,334,483,517,488168
337,326,337,487,513,488116
330,325,345,503,497,487922
326,325,349,502,498,487645
337,326,337,484,516,487615
354,325,321,494,506,487605
335,326,339,523,477,487536
348,326,326,506,494,487528
348,326,326,485,515,487463
345,326,329,503,497,487456
346,325,329,517,483,487365
358,326,316,516,484,487279
352,325,323,488,512,487253
332,325,343,470,530,487151
323,325,352,501,499,486942
332,325,343,499,501,486920
316,325,359,516,484,486858
325,325,350,491,509,486836
333,325,342,525,475,486787
336,325,339,476,524,486745
335,325,340,483,517,486723
358,326,316,521,479,486720
317,325,358,488,512,486671
342,326,332,517,483,486590
335,325,340,503,497,486530
344,325,331,506,494,486529
335,325,340,512,488,486516
348,325,327,511,489,486505
330,325,345,482,518,486371
350,325,325,490,510,486349
353,324,323,471,529,486309
343,325,332,485,515,486236
338,325,337,497,503,486210
320,325,355,491,509,486055
325,324,351,467,533,486013
348,325,327,493,507,485973
359,324,317,502,498,485948
338,324,338,509,491,485809
324,323,353,495,505,485594
342,324,334,511,489,485536
335,324,341,512,488,485222
330,324,346,492,508,485149
352,323,325,514,486,485098
329,324,347,506,494,485041
337,324,339,485,515,484994
333,324,343,517,483,484916
340,324,336,534,466,484889
318,323,359,495,505,484765
334,324,342,501,499,484738
339,324,337,525,475,484677
353,324,323,483,517,484566
338,323,339,518,482,484368
337,323,340,509,491,484304
331,323,346,523,477,484303
347,324,329,480,520,484243
316,324,360,492,508,484073
316,323,361,511,489,483991
336,323,341,518,482,483985
341,323,336,500,500,483935
323,323,354,512,488,483931
351,323,326,474,526,483917
342,323,335,482,518,483865
307,323,370,482,518,483841
336,323,341,504,496,483807
354,323,323,496,504,483807
351,322,327,490,510,483681
342,323,335,546,454,483652
327,323,350,490,510,483635
326,323,351,514,486,483560
329,323,348,516,484,483509
342,322,336,513,487,483190
314,323,363,490,510,483039
359,323,318,517,483,482930
339,322,339,507,493,482823
342,323,335,538,462,482712
330,322,348,490,510,482633
355,322,323,497,503,482444
357,322,321,518,482,482416
353,322,325,490,510,482378
332,322,346,542,458,482374
331,322,347,503,497,482366
321,322,357,507,493,482315
331,322,347,494,506,482302
334,322,344,501,499,482173
332,322,346,478,522,482133
346,322,332,490,510,482111
345,322,333,522,478,482071
335,322,343,485,515,481983
360,322,318,487,513,481982
323,322,355,472,528,481936
337,321,342,493,507,481876
328,322,350,520,480,481787
321,322,357,498,502,481647
352,322,326,508,492,481620
350,321,329,505,495,481550
331,322,347,500,500,481333
349,322,329,509,491,481142
336,322,342,511,489,481098
327,321,352,485,515,481084
326,321,353,491,509,480964
328,321,351,501,499,480950
339,321,340,508,492,480913
371,321,308,490,510,480818
352,321,327,513,487,480818
343,321,336,510,490,480774
333,321,346,494,506,480693
346,321,333,482,518,480625
353,321,326,512,488,480544
346,321,333,499,501,480505
347,321,332,493,507,480438
308,321,371,514,486,480343
358,321,321,478,522,480244
334,320,346,508,492,480226
357,321,322,513,487,480179
348,321,331,504,496,480111
335,321,344,484,516,480027
340,320,340,489,511,479919
330,320,350,499,501,479745
331,320,349,479,521,479613
323,320,357,499,501,479588
334,320,346,491,509,479533
361,320,319,493,507,479500
357,320,323,520,480,479464
328,320,352,485,515,479180
349,320,331,488,512,479065
341,320,339,504,496,479062
337,320,343,520,480,479038
332,320,348,505,495,479002
344,320,336,501,499,478989
329,320,351,495,505,478950
327,320,353,528,472,478921
332,320,348,491,509,478873
358,320,322,496,504,478784
331,320,349,480,520,478746
323,320,357,499,501,478625
327,319,354,512,488,478501
336,320,344,496,504,478403
329,319,352,503,497,478331
318,319,363,542,458,478021
348,319,333,504,496,477855
316,319,365,485,515,477749
337,319,344,479,521,477592
312,319,369,480,520,477569
334,319,347,508,492,477531
339,319,342,464,536,477428
363,319,318,470,530,477305
324,318,358,507,493,477188
356,319,325,511,489,476869
351,318,331,498,502,476855
346,318,336,478,522,476522
339,318,343,500,500,476424
320,318,362,512,488,476362
341,318,341,498,502,476317
346,318,336,503,497,476298
349,317,334,485,515,476296
330,318,352,497,503,476217
316,318,366,500,500,476183
329,318,353,500,500,476162
339,318,343,488,512,476155
347,319,334,485,515,476128
342,318,340,497,503,476029
340,318,342,515,485,475821
337,317,346,492,508,475733
329,318,353,473,527,475482
338,318,344,503,497,475460
334,317,349,519,481,475418
366,318,316,503,497,475383
359,318,323,501,499,475367
337,318,345,513,487,475366
346,318,336,513,487,475283
343,317,340,518,482,475215
348,318,334,485,515,475111
358,317,325,502,498,474994
324,317,359,497,503,474545
338,317,345,519,481,474496
344,316,340,516,484,474365
356,317,327,476,524,474315
335,316,349,482,518,474170
346,316,338,499,501,474117
321,316,363,498,502,473895
351,316,333,508,492,473708
342,316,342,506,494,473672
356,316,328,487,513,473601
346,316,338,503,497,473536
336,316,348,519,481,473453
335,316,349,504,496,473333
342,316,342,486,514,473302
332,316,352,511,489,473262
358,316,326,502,498,473115
348,316,336,522,478,472979
335,316,349,503,497,472909
340,316,344,501,499,472827
368,315,317,506,494,472755
345,316,339,491,509,472687
347,316,337,492,508,472582
360,316,324,487,513,472582
337,315,348,500,500,472558
345,315,340,534,466,472543
356,316,328,492,508,472540
371,315,314,468,532,472488
341,315,344,484,516,472300
353,316,331,472,528,472002
333,315,352,484,516,472000
328,315,357,512,488,471842
334,315,351,499,501,471731
339,315,346,497,503,471407
349,315,336,494,506,471403
341,315,344,493,507,471303
353,315,332,484,516,471286
376,315,309,471,529,471258
354,315,331,511,489,471245
350,315,335,486,514,471243
342,315,343,518,482,471218
357,315,328,511,489,470868
335,314,351,504,496,470837
345,315,340,497,503,470701
361,314,325,495,505,470608
346,314,340,508,492,470545
332,314,354,509,491,470518
352,314,334,499,501,470428
348,314,338,498,502,470395
324,314,362,517,483,470054
321,314,365,493,507,470031
358,314,328,494,506,469922
349,314,337,508,492,469693
359,313,328,482,518,469576
349,313,338,479,521,469500
342,313,345,493,507,469266
327,313,360,472,528,469033
350,313,337,506,494,468983
333,313,354,492,508,468836
340,313,347,502,498,468788
349,313,338,495,505,468760
350,313,337,526,474,468304
347,313,340,469,531,468170
350,312,338,475,525,467715
346,312,342,495,505,467212
334,312,354,520,480,467183
364,312,324,501,499,467093
338,312,350,471,529,467055
336,311,353,506,494,466797
356,310,334,474,526,464856
364,310,326,501,499,464842
364,311,325,488,512,464827
353,310,337,497,503,464697
354,311,335,482,518,464675
360,310,330,497,503,464508
326,310,364,517,483,464406
353,310,337,462,538,464397
346,310,344,518,482,464151
342,310,348,489,511,464121
344,309,347,527,473,463892
339,309,352,481,519,463411
332,309,359,492,508,463166
349,309,342,495,505,463091
341,309,350,524,476,462919
367,309,324,495,505,462640
339,309,352,480,520,462512
333,309,358,494,506,462417
339,309,352,477,523,462263
344,308,348,485,515,461754
335,308,357,484,516,461574
366,308,326,498,502,461535
340,308,352,502,498,461046
352,308,340,513,487,460824
347,307,346,480,520,460205
344,307,349,480,520,460083
376,307,317,494,506,459963
351,307,342,491,509,459864
325,307,368,500,500,459515
352,307,341,526,474,459484
362,307,331,501,499,459152
348,307,345,500,500,459150
372,307,321,484,516,458918
340,306,354,466,534,458671
334,306,360,526,474,458148
324,306,370,516,484,458148
387,306,307,503,497,457962
349,305,346,494,506,457891
340,306,354,507,493,457438
359,305,336,512,488,456947
344,305,351,531,469,456584
346,304,350,461,539,455457
345,304,351,466,534,455441
339,304,357,526,474,455284
336,303,361,465,535,454535
339,303,358,513,487,453815
351,302,347,513,487,452633
341,302,357,505,495,452511
335,301,364,507,493,451058
367,300,333,486,514,447960
350,299,351,497,503,447644
349,299,352,496,504,447345
363,299,338,506,494,446955
324,296,380,497,503,442610
344,295,361,517,483,441866
345,294,361,510,490,441131
359,292,349,504,496,436449
388,286,326,499,501,428562
358,283,359,491,509,423249
