dontshare;sharefakeplanet;sharelegitplanet;,ifsharedlegit(0):researchplanet:researchplanet;dontresearchplanet;ifsharedfake(1):researchplanet:dontresearchplanet;,14954
dontshare;sharelegitplanet;sharefakeplanet;,ifdidntshare(2):dontresearchplanet:researchplanet;ifdidntshare(2):researchplanet:researchplanet;ifsharedlegit(1):researchplanet:researchplanet;,14930
sharefakeplanet;sharelegitplanet;sharefakeplanet;,ifdidntshare(1):researchplanet:researchplanet;researchplanet;dontresearchplanet;,15032
dontshare;sharelegitplanet;sharelegitplanet;,researchplanet;researchplanet;ifsharedfake(2):researchplanet:researchplanet;,30002
sharefakeplanet;dontshare;dontshare;,ifdidntshare(1):researchplanet:dontresearchplanet;ifdidntshare(0):researchplanet:researchplanet;dontresearchplanet;,-26
sharefakeplanet;dontshare;sharefakeplanet;,ifdidntshare(2):dontresearchplanet:dontresearchplanet;ifsharedlegit(1):dontresearchplanet:researchplanet;dontresearchplanet;,-62
dontshare;sharefakeplanet;dontshare;,dontresearchplanet;ifdidntshare(1):researchplanet:dontresearchplanet;ifsharedfake(1):dontresearchplanet:dontresearchplanet;,-194
dontshare;dontshare;sharelegitplanet;,ifsharedlegit(2):dontresearchplanet:dontresearchplanet;ifdidntshare(2):researchplanet:researchplanet;dontresearchplanet;,14889
sharelegitplanet;dontshare;sharelegitplanet;,ifsharedfake(0):dontresearchplanet:researchplanet;ifsharedfake(2):researchplanet:dontresearchplanet;ifsharedlegit(1):dontresearchplanet:dontresearchplanet;,29950
sharelegitplanet;sharefakeplanet;sharefakeplanet;,ifsharedfake(0):researchplanet:researchplanet;ifsharedlegit(0):researchplanet:researchplanet;ifsharedlegit(1):dontresearchplanet:researchplanet;,14833
dontshare;sharelegitplanet;dontshare;,dontresearchplanet;dontresearchplanet;ifsharedfake(2):researchplanet:researchplanet;,15024
dontshare;sharelegitplanet;sharefakeplanet;,ifsharedfake(0):dontresearchplanet:researchplanet;researchplanet;ifsharedfake(0):researchplanet:dontresearchplanet;,14851
dontshare;dontshare;dontshare;,dontresearchplanet;dontresearchplanet;ifsharedfake(2):dontresearchplanet:dontresearchplanet;,0
sharelegitplanet;sharelegitplanet;sharefakeplanet;,researchplanet;ifsharedlegit(2):dontresearchplanet:researchplanet;ifdidntshare(2):dontresearchplanet:dontresearchplanet;,26657
dontshare;sharefakeplanet;sharelegitplanet;,ifsharedlegit(2):researchplanet:researchplanet;ifsharedfake(0):researchplanet:dontresearchplanet;ifsharedfake(2):researchplanet:researchplanet;,11593
sharelegitplanet;sharelegitplanet;dontshare;,ifsharedlegit(0):dontresearchplanet:dontresearchplanet;ifsharedfake(2):researchplanet:dontresearchplanet;ifsharedfake(1):researchplanet:dontresearchplanet;,26639
dontshare;dontshare;sharefakeplanet;,dontresearchplanet;ifdidntshare(1):researchplanet:dontresearchplanet;ifsharedlegit(0):researchplanet:researchplanet;,-58
sharefakeplanet;sharelegitplanet;dontshare;,ifdidntshare(1):researchplanet:researchplanet;ifsharedfake(0):researchplanet:dontresearchplanet;researchplanet;,11803
dontshare;dontshare;sharelegitplanet;,ifdidntshare(2):dontresearchplanet:researchplanet;researchplanet;ifdidntshare(0):dontresearchplanet:dontresearchplanet;,14974
sharefakeplanet;sharelegitplanet;sharelegitplanet;,ifsharedlegit(2):researchplanet:researchplanet;ifsharedfake(0):dontresearchplanet:researchplanet;ifdidntshare(1):dontresearchplanet:dontresearchplanet;,33498
dontshare;sharelegitplanet;dontshare;,researchplanet;researchplanet;ifdidntshare(1):researchplanet:dontresearchplanet;,14986
dontshare;sharelegitplanet;dontshare;,ifdidntshare(2):researchplanet:dontresearchplanet;dontresearchplanet;ifdidntshare(1):dontresearchplanet:researchplanet;,14996
dontshare;dontshare;sharefakeplanet;,ifdidntshare(0):researchplanet:researchplanet;ifsharedlegit(0):dontresearchplanet:researchplanet;ifsharedfake(0):researchplanet:researchplanet;,-3349
sharelegitplanet;dontshare;sharelegitplanet;,dontresearchplanet;ifsharedfake(0):dontresearchplanet:dontresearchplanet;researchplanet;,30039
sharefakeplanet;sharelegitplanet;dontshare;,ifsharedfake(2):researchplanet:dontresearchplanet;dontresearchplanet;researchplanet;,15224
sharelegitplanet;sharelegitplanet;sharefakeplanet;,ifdidntshare(1):researchplanet:researchplanet;ifsharedfake(2):researchplanet:dontresearchplanet;ifdidntshare(2):dontresearchplanet:dontresearchplanet;,26657
sharelegitplanet;dontshare;sharefakeplanet;,ifdidntshare(1):dontresearchplanet:dontresearchplanet;ifsharedlegit(1):dontresearchplanet:researchplanet;ifdidntshare(2):researchplanet:dontresearchplanet;,14889
